country_code,country_name,year,indicator_code,indicator_name,value
URY,Uruguay,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",12.442
PER,Peru,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",6.993
PRY,Paraguay,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",9.972
PAN,Panama,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",20.087
NIC,Nicaragua,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",6.029
MEX,Mexico,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",4.088
HND,Honduras,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",14.08
GTM,Guatemala,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",3.711
SLV,El Salvador,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",5.423
ECU,Ecuador,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",7.341
DOM,Dominican Republic,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",9.034
CUB,Cuba,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",2.271
CRI,Costa Rica,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",21.175
COL,Colombia,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",20.526
CHL,Chile,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",11.15
BRA,Brazil,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",16.25
BOL,Bolivia,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",9.747
ARG,Argentina,2020,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",12.394
VEN,"Venezuela, RB",2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",7.541
URY,Uruguay,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",10.958
PER,Peru,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",5.552
PRY,Paraguay,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",9.558
PAN,Panama,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",10.549
NIC,Nicaragua,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",5.973
MEX,Mexico,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",4.086
HND,Honduras,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",10.786
GTM,Guatemala,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",2.867
SLV,El Salvador,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",4.763
ECU,Ecuador,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",5.715
DOM,Dominican Republic,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",12.448
CUB,Cuba,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",2.181
CRI,Costa Rica,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",20.04
COL,Colombia,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",18.171
CHL,Chile,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",9.561
BRA,Brazil,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",16.444
BOL,Bolivia,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",5.664
ARG,Argentina,2021,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",9.852
VEN,"Venezuela, RB",2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",6.179
URY,Uruguay,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",9.05
PER,Peru,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",5.248
PRY,Paraguay,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",8.25
PAN,Panama,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",9.735
NIC,Nicaragua,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",5.076
MEX,Mexico,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",3.307
HND,Honduras,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",13.212
GTM,Guatemala,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",4.665
SLV,El Salvador,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",3.3
ECU,Ecuador,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",4.388
DOM,Dominican Republic,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",8.658
CUB,Cuba,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",1.952
CRI,Costa Rica,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",15.134
COL,Colombia,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",13.241
CHL,Chile,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",8.814
BRA,Brazil,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",11.515
BOL,Bolivia,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",4.172
ARG,Argentina,2022,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",7.682
VEN,"Venezuela, RB",2023,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",5.937
URY,Uruguay,2023,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",9.46
PER,Peru,2023,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",5.8
PRY,Paraguay,2023,SL.UEM.TOTL.FE.ZS,"Unemployment rate, female (% of female labor force)",7.341
