"Área de referencia","Fuente","Desajuste","Actividad económica","Año","Mujeres","Hombres"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","No clasificado en otra parte","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2019","0.3","0.4"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","No clasificado en otra parte","Administración pública y servicios y actividades comunales y sociales","2019","0.9","0.6"
"Bahamas","EFT - Encuesta de fuerza laboral y hogares","No clasificado en otra parte","Sin clasificar","2019",,
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Total","2016","53.5","91.6"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Agricultura","2016","2.5","24.3"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Manufacturas","2016","4.5","6.2"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Construcción","2016","0.2","10.2"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2016","0.2","1.3"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2016","25.7","32.5"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Administración pública y servicios y actividades comunales y sociales","2016","20.1","16.4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Sin clasificar","2016","0.2","0.8"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Total","2016","11.7","19.7"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Agricultura","2016","0.7","6.7"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Manufacturas","2016","1","1.1"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Construcción","2016",,"2"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Explotación de minas y canteras; Suministro de electricidad, gas y agua","2016",,"0.1"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Comercio, Transporte, Hoteles y Restaurantes, y actividades empresariales","2016","5.7","6.4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Poco educado","Administración pública y servicios y actividades comunales y sociales","2016","4.3","3.3"
