"Área de referencia","Fuente","Actividad económica","Año","Mujeres","Hombres"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","F. Construcción","2025","39","39.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2025","39.9","42.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","H. Transporte y almacenamiento","2025","40","43"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","J. Información y comunicaciones","2025","39.8","40.9"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","K. Actividades financieras y de seguros","2025","39.2","39.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","L. Actividades inmobiliarias","2025","39","40"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","M. Actividades profesionales, científicas y técnicas","2025","37.8","39.5"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","N. Actividades de servicios administrativos y de apoyo","2025","38.6","40.3"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2025","36.6","39.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","P. Enseñanza","2025","33.9","35.9"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Q. Actividades de atención de la salud humana y de asistencia social","2025","37.5","39.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","R. Actividades artísticas, de entretenimiento y recreativas","2025","35.6","35.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","S. Otras actividades de servicios","2025","33","39.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2025","31","37.3"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","U. Actividades de organizaciones y órganos extraterritoriales","2025","36.8","36.3"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","X. No clasificados en otra parte","2025","39.3","40.5"
"Chile","EFT - Encuesta Nacional de Empleo","A. Agricultura; ganadería; silvicultura y pesca","2025","37.9","39.5"
"Chile","EFT - Encuesta Nacional de Empleo","B. Explotación de minas y canteras","2025","40.9","41.4"
"Chile","EFT - Encuesta Nacional de Empleo","C. Industrias manufactureras","2025","34.6","42"
"Chile","EFT - Encuesta Nacional de Empleo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2025","41.3","42.8"
"Chile","EFT - Encuesta Nacional de Empleo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2025","36.9","41.2"
"Chile","EFT - Encuesta Nacional de Empleo","F. Construcción","2025","40.1","39"
"Chile","EFT - Encuesta Nacional de Empleo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2025","36.2","41.2"
"Chile","EFT - Encuesta Nacional de Empleo","H. Transporte y almacenamiento","2025","38.8","43.1"
"Chile","EFT - Encuesta Nacional de Empleo","J. Información y comunicaciones","2025","40.3","41.1"
"Chile","EFT - Encuesta Nacional de Empleo","K. Actividades financieras y de seguros","2025","39.9","41"
"Chile","EFT - Encuesta Nacional de Empleo","L. Actividades inmobiliarias","2025","37.8","41.2"
"Chile","EFT - Encuesta Nacional de Empleo","M. Actividades profesionales, científicas y técnicas","2025","36.7","39.1"
"Chile","EFT - Encuesta Nacional de Empleo","N. Actividades de servicios administrativos y de apoyo","2025","30.4","37.2"
"Chile","EFT - Encuesta Nacional de Empleo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2025","42.3","45.1"
"Chile","EFT - Encuesta Nacional de Empleo","P. Enseñanza","2025","37.8","37.3"
"Chile","EFT - Encuesta Nacional de Empleo","Q. Actividades de atención de la salud humana y de asistencia social","2025","39.2","40.9"
"Chile","EFT - Encuesta Nacional de Empleo","R. Actividades artísticas, de entretenimiento y recreativas","2025","31.9","34.7"
"Chile","EFT - Encuesta Nacional de Empleo","S. Otras actividades de servicios","2025","28.3","38"
"Chile","EFT - Encuesta Nacional de Empleo","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2025","30","35.1"
"Chile","EFT - Encuesta Nacional de Empleo","U. Actividades de organizaciones y órganos extraterritoriales","2025","37.9","43.8"
"Chile","EFT - Encuesta Nacional de Empleo","X. No clasificados en otra parte","2025","37.4","41.5"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","A. Agricultura; ganadería; silvicultura y pesca","2025","31.6","42"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","B. Explotación de minas y canteras","2025","38.6","45.8"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","C. Industrias manufactureras","2025","39.8","45.6"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","D. Suministro de electricidad, gas; vapor y aire acondicionado","2025","44","46.5"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2025","38.3","44.5"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","F. Construcción","2025","43.6","44.2"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2025","41.8","48"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","H. Transporte y almacenamiento","2025","42.4","49.2"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","J. Información y comunicaciones","2025","42","43.8"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","K. Actividades financieras y de seguros","2025","43.1","43.6"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","L. Actividades inmobiliarias","2025","42.3","47.3"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","M. Actividades profesionales, científicas y técnicas","2025","40","41.1"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","N. Actividades de servicios administrativos y de apoyo","2025","33.8","44.1"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2025","43.3","48"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","P. Enseñanza","2025","38.3","38.9"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Q. Actividades de atención de la salud humana y de asistencia social","2025","43.4","45.1"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","R. Actividades artísticas, de entretenimiento y recreativas","2025","40.5","38.9"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","S. Otras actividades de servicios","2025","34.4","43.6"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2025","39.6","46.8"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","U. Actividades de organizaciones y órganos extraterritoriales","2025","41","40.1"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","X. No clasificados en otra parte","2025",,"47.7"
"Costa Rica","EFT - Encuesta Continua de Empleo","A. Agricultura; ganadería; silvicultura y pesca","2025","42.8","44.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","B. Explotación de minas y canteras","2025","45.6","50.4"
"Costa Rica","EFT - Encuesta Continua de Empleo","C. Industrias manufactureras","2025","41.7","45.8"
"Costa Rica","EFT - Encuesta Continua de Empleo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2025","45.9","47"
"Costa Rica","EFT - Encuesta Continua de Empleo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2025","42.3","44.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","F. Construcción","2025","45.2","46.8"
"Costa Rica","EFT - Encuesta Continua de Empleo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2025","41.8","46.2"
"Costa Rica","EFT - Encuesta Continua de Empleo","H. Transporte y almacenamiento","2025","43.3","49.5"
"Costa Rica","EFT - Encuesta Continua de Empleo","J. Información y comunicaciones","2025","44.6","44.4"
"Costa Rica","EFT - Encuesta Continua de Empleo","K. Actividades financieras y de seguros","2025","44.5","45.3"
"Costa Rica","EFT - Encuesta Continua de Empleo","L. Actividades inmobiliarias","2025","43.9","48.5"
"Costa Rica","EFT - Encuesta Continua de Empleo","M. Actividades profesionales, científicas y técnicas","2025","41","42.2"
"Costa Rica","EFT - Encuesta Continua de Empleo","N. Actividades de servicios administrativos y de apoyo","2025","43.7","42.5"
"Costa Rica","EFT - Encuesta Continua de Empleo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2025","45.2","48.3"
"Costa Rica","EFT - Encuesta Continua de Empleo","P. Enseñanza","2025","37.4","39"
"Costa Rica","EFT - Encuesta Continua de Empleo","Q. Actividades de atención de la salud humana y de asistencia social","2025","43.9","46.8"
"Costa Rica","EFT - Encuesta Continua de Empleo","R. Actividades artísticas, de entretenimiento y recreativas","2025","34.6","35.9"
"Costa Rica","EFT - Encuesta Continua de Empleo","S. Otras actividades de servicios","2025","30.2","34.7"
"Costa Rica","EFT - Encuesta Continua de Empleo","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2025","29","41.2"
"Costa Rica","EFT - Encuesta Continua de Empleo","U. Actividades de organizaciones y órganos extraterritoriales","2025",,"44.3"
"Costa Rica","EFT - Encuesta Continua de Empleo","X. No clasificados en otra parte","2025","40.4","46.2"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","A. Agricultura; ganadería; silvicultura y pesca","2015","50","41"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","B. Explotación de minas y canteras","2015",,"42"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","C. Industrias manufactureras","2015","41","45"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2015","40","45"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2015","40","35"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","F. Construcción","2015","43","44"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2015","42","41"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","H. Transporte y almacenamiento","2015","42","38"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","J. Información y comunicaciones","2015","42","46"
"Islas Caimán","EFT - Encuesta de la Fuerza de Trabajo","K. Actividades financieras y de seguros","2015","42","41"
