"Área de referencia","Fuente","Tipo de hogar","Presencia de niños menores de 6 años","Año","Mujeres","Hombres"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja sin hijos","Presencia de niños menores de 6 años: No","2017","42.4","48.6"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Presencia de niños menores de 6 años: Total","2017","38","46.4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Presencia de niños menores de 6 años: Si","2017","36.7","47.1"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Presencia de niños menores de 6 años: No","2017","38.9","45.6"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Presencia de niños menores de 6 años: Total","2017","39","48.2"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Presencia de niños menores de 6 años: Si","2017","35.1","48"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Presencia de niños menores de 6 años: No","2017","40","48.9"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Presencia de niños menores de 6 años: Total","2017","41.6","47.2"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Presencia de niños menores de 6 años: Si","2017","39.8","46.6"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Presencia de niños menores de 6 años: No","2017","43.6","47.8"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Número de niños menores de 6 años: Total","2017","39.8","46.6"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Número de niños menores de 6 años: 0","2017","40.7","46.4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Número de niños menores de 6 años: 1","2017","39.1","47"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Número de niños menores de 6 años: 2","2017","36.1","46.3"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Total","Número de niños menores de 6 años: 3+","2017","24.8","49.3"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Una persona","Número de niños menores de 6 años: Total","2017","39.3","44.8"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Una persona","Número de niños menores de 6 años: 0","2017","39.3","44.8"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja sin hijos","Número de niños menores de 6 años: Total","2017","42.4","48.6"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja sin hijos","Número de niños menores de 6 años: 0","2017","42.4","48.6"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Número de niños menores de 6 años: Total","2017","38","46.4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Número de niños menores de 6 años: 0","2017","38.9","45.6"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Número de niños menores de 6 años: 1","2017","37.5","47.1"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Número de niños menores de 6 años: 2","2017","34.5","45.8"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Pareja con hijos","Número de niños menores de 6 años: 3+","2017","0","51.7"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Número de niños menores de 6 años: Total","2017","39","48.2"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Número de niños menores de 6 años: 0","2017","40","48.9"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Número de niños menores de 6 años: 1","2017","35.4","47.9"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Padre solo","Número de niños menores de 6 años: 2","2017","36.7","0.5"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Número de niños menores de 6 años: Total","2017","41.6","47.2"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Número de niños menores de 6 años: 0","2017","43.6","47.8"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Número de niños menores de 6 años: 1","2017","41.2","46.5"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Número de niños menores de 6 años: 2","2017","36.9","47.4"
"Belice","EFT - Encuesta de la Fuerza de Trabajo","Familia extendida","Número de niños menores de 6 años: 3+","2017","32.7","45.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Presencia de niños menores de 6 años: Total","2024","36.5","41.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Presencia de niños menores de 6 años: Si","2024","34.8","41.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Presencia de niños menores de 6 años: No","2024","37.1","41.3"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Una persona","Presencia de niños menores de 6 años: Total","2024","37.9","41.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Una persona","Presencia de niños menores de 6 años: No","2024","37.9","41.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja sin hijos","Presencia de niños menores de 6 años: Total","2024","37.8","41.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja sin hijos","Presencia de niños menores de 6 años: No","2024","37.8","41.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja con hijos","Presencia de niños menores de 6 años: Total","2024","36","41.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja con hijos","Presencia de niños menores de 6 años: Si","2024","34.8","41.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Pareja con hijos","Presencia de niños menores de 6 años: No","2024","36.7","41.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Padre solo","Presencia de niños menores de 6 años: Total","2024","34.9","40.5"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Padre solo","Presencia de niños menores de 6 años: Si","2024","32.3","38.2"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Padre solo","Presencia de niños menores de 6 años: No","2024","35.6","40.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Familia extendida","Presencia de niños menores de 6 años: Total","2024","37.2","40.5"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Familia extendida","Presencia de niños menores de 6 años: Si","2024","36.1","40.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Familia extendida","Presencia de niños menores de 6 años: No","2024","37.7","40.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Número de niños menores de 6 años: Total","2024","36.5","41.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Número de niños menores de 6 años: 0","2024","37.1","41.3"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Número de niños menores de 6 años: 1","2024","35.1","41.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Número de niños menores de 6 años: 2","2024","33","41.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Total","Número de niños menores de 6 años: 3+","2024","33","39.8"
