"Área de referencia","Fuente","Actividad económica","Año","Mujeres","Hombres"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","D. Suministro de electricidad, gas; vapor y aire acondicionado","2025","55.7","199.2"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2025","114.4","399.2"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","F. Construcción","2025","344.2","7091.2"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2025","8181.9","11232"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","H. Transporte y almacenamiento","2025","736.3","5210.6"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","I. Actividades de alojamiento y de servicio de comidas","2025","3061.7","2379.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","J. Información y comunicaciones","2025","500","1279.5"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","K. Actividades financieras y de seguros","2025","785.4","858.9"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","L. Actividades inmobiliarias","2025","350.9","422.3"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","M. Actividades profesionales, científicas y técnicas","2025","2184.7","2122.9"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","N. Actividades de servicios administrativos y de apoyo","2025","1716.9","2578.5"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2025","2052.1","3202.7"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","P. Enseñanza","2025","4839.4","1820.8"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","Q. Actividades de atención de la salud humana y de asistencia social","2025","5385.1","1633.1"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","R. Actividades artísticas, de entretenimiento y recreativas","2025","455.5","749"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","S. Otras actividades de servicios","2025","2674.5","1618.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2025","5180.9","478.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","U. Actividades de organizaciones y órganos extraterritoriales","2025","2.3","2.4"
"Brasil","EH - Pesquisa Nacional por Amostra de Domicílios Contínua","X. No clasificados en otra parte","2025","155.9","229.6"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Total","2023","60.1","63.8"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","A. Agricultura; ganadería; silvicultura y pesca","2023","0.5","1.2"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","B. Explotación de minas y canteras","2023",,
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","C. Industrias manufactureras","2023","2.7","4.5"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2023","0.7","1"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2023","0.2","0.5"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","F. Construcción","2023","0.6","9.8"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2023","8.7","9.9"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","H. Transporte y almacenamiento","2023","1.8","3.8"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","I. Actividades de alojamiento y de servicio de comidas","2023","7.8","5.3"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","J. Información y comunicaciones","2023","0.8","0.9"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","K. Actividades financieras y de seguros","2023","4","1.5"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","L. Actividades inmobiliarias","2023","0.3","0.5"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","M. Actividades profesionales, científicas y técnicas","2023","1.9","1.4"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","N. Actividades de servicios administrativos y de apoyo","2023","2.9","3.7"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2023","6.4","6.2"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","P. Enseñanza","2023","4.1","1.9"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","Q. Actividades de atención de la salud humana y de asistencia social","2023","9.2","6.4"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","R. Actividades artísticas, de entretenimiento y recreativas","2023","0.8","1.1"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","S. Otras actividades de servicios","2023","2","1.4"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2023","3.2","1.1"
"Barbados","EFT - Encuesta de la Fuerza de Trabajo","U. Actividades de organizaciones y órganos extraterritoriales","2023","1.3","1.5"
"Chile","EFT - Encuesta Nacional de Empleo","Total","2025","4065.9","5349"
"Chile","EFT - Encuesta Nacional de Empleo","A. Agricultura; ganadería; silvicultura y pesca","2025","136.8","432.1"
"Chile","EFT - Encuesta Nacional de Empleo","B. Explotación de minas y canteras","2025","44.8","259.4"
"Chile","EFT - Encuesta Nacional de Empleo","C. Industrias manufactureras","2025","293.2","605.8"
"Chile","EFT - Encuesta Nacional de Empleo","D. Suministro de electricidad, gas; vapor y aire acondicionado","2025","12.9","36.9"
"Chile","EFT - Encuesta Nacional de Empleo","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2025","14.6","57.2"
"Chile","EFT - Encuesta Nacional de Empleo","F. Construcción","2025","65","655.7"
"Chile","EFT - Encuesta Nacional de Empleo","G. Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas","2025","795.6","949.2"
"Chile","EFT - Encuesta Nacional de Empleo","H. Transporte y almacenamiento","2025","106.1","485.8"
"Chile","EFT - Encuesta Nacional de Empleo","I. Actividades de alojamiento y de servicio de comidas","2025","261.1","196"
"Chile","EFT - Encuesta Nacional de Empleo","J. Información y comunicaciones","2025","70.2","155.4"
"Chile","EFT - Encuesta Nacional de Empleo","K. Actividades financieras y de seguros","2025","102.6","102.5"
"Chile","EFT - Encuesta Nacional de Empleo","L. Actividades inmobiliarias","2025","42.1","54.2"
"Chile","EFT - Encuesta Nacional de Empleo","M. Actividades profesionales, científicas y técnicas","2025","161.9","197.1"
"Chile","EFT - Encuesta Nacional de Empleo","N. Actividades de servicios administrativos y de apoyo","2025","153.9","163.5"
"Chile","EFT - Encuesta Nacional de Empleo","O. Administración pública y defensa; planes de seguridad social de afiliación obligatoria","2025","237.9","301.4"
"Chile","EFT - Encuesta Nacional de Empleo","P. Enseñanza","2025","579.7","222.2"
"Chile","EFT - Encuesta Nacional de Empleo","Q. Actividades de atención de la salud humana y de asistencia social","2025","516.1","207.4"
"Chile","EFT - Encuesta Nacional de Empleo","R. Actividades artísticas, de entretenimiento y recreativas","2025","43.3","69.1"
"Chile","EFT - Encuesta Nacional de Empleo","S. Otras actividades de servicios","2025","180.9","150.5"
"Chile","EFT - Encuesta Nacional de Empleo","T. Actividades de los hogares como empleadores; actividades no diferenciadas de los hogares como productores de bienes y servicios para uso propio","2025","234.5","27"
"Chile","EFT - Encuesta Nacional de Empleo","U. Actividades de organizaciones y órganos extraterritoriales","2025","2.1","1.5"
"Chile","EFT - Encuesta Nacional de Empleo","X. No clasificados en otra parte","2025","10.8","19.3"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","Total","2025","9892.9","13934.5"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","A. Agricultura; ganadería; silvicultura y pesca","2025","576.9","2809.2"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","B. Explotación de minas y canteras","2025","43.9","262.2"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","C. Industrias manufactureras","2025","1093","1516.3"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","D. Suministro de electricidad, gas; vapor y aire acondicionado","2025","20.9","63.4"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","E. Suministro de agua; evacuación de aguas residuales, gestión de desechos y descontaminación","2025","55.8","170.5"
"Colombia","EFT - Gran Encuesta Integrada de Hogares","F. Construcción","2025","110.3","1494.4"
